segment	document
109	tedtalk-1
110	tedtalk-1
111	tedtalk-1
112	tedtalk-1
113	tedtalk-1
114	tedtalk-1
115	tedtalk-1
116	tedtalk-1
117	tedtalk-1
118	tedtalk-1
119	tedtalk-1
120	tedtalk-1
121	tedtalk-1
122	tedtalk-1
123	tedtalk-1
124	tedtalk-1
125	tedtalk-1
126	tedtalk-1
127	tedtalk-1
128	tedtalk-1
129	tedtalk-1
130	tedtalk-1
131	tedtalk-1
132	tedtalk-1
133	tedtalk-1
134	tedtalk-1
135	tedtalk-1
136	tedtalk-1
137	tedtalk-1
138	tedtalk-1
139	tedtalk-1
140	tedtalk-1
1	tedtalk-2
2	tedtalk-2
3	tedtalk-2
4	tedtalk-2
5	tedtalk-2
6	tedtalk-2
7	tedtalk-2
8	tedtalk-2
9	tedtalk-2
10	tedtalk-2
11	tedtalk-2
12	tedtalk-2
13	tedtalk-2
14	tedtalk-2
15	tedtalk-2
16	tedtalk-2
17	tedtalk-2
18	tedtalk-2
19	tedtalk-2
20	tedtalk-2
21	tedtalk-2
22	tedtalk-2
23	tedtalk-2
24	tedtalk-2
25	tedtalk-2
26	tedtalk-2
27	tedtalk-2
28	tedtalk-2
29	tedtalk-2
30	tedtalk-2
31	tedtalk-2
32	tedtalk-2
33	tedtalk-2
34	tedtalk-2
35	tedtalk-2
36	tedtalk-2
37	tedtalk-2
38	tedtalk-2
39	tedtalk-2
40	tedtalk-2
41	tedtalk-2
42	tedtalk-2
43	tedtalk-2
44	tedtalk-2
45	tedtalk-2
46	tedtalk-2
47	tedtalk-2
48	tedtalk-2
49	tedtalk-2
50	tedtalk-2
51	tedtalk-2
52	tedtalk-2
53	tedtalk-2
54	tedtalk-2
55	tedtalk-2
56	tedtalk-2
57	tedtalk-2
58	tedtalk-2
59	tedtalk-2
60	tedtalk-2
61	tedtalk-2
62	tedtalk-2
63	tedtalk-2
64	tedtalk-2
65	tedtalk-2
66	tedtalk-2
67	tedtalk-2
68	tedtalk-2
69	tedtalk-2
70	tedtalk-2
71	tedtalk-2
72	tedtalk-2
73	tedtalk-2
74	tedtalk-2
75	tedtalk-2
76	tedtalk-2
77	tedtalk-2
1	tedtalk-3
2	tedtalk-3
3	tedtalk-3
4	tedtalk-3
5	tedtalk-3
6	tedtalk-3
7	tedtalk-3
8	tedtalk-3
9	tedtalk-3
10	tedtalk-3
11	tedtalk-3
12	tedtalk-3
13	tedtalk-3
14	tedtalk-3
15	tedtalk-3
16	tedtalk-3
17	tedtalk-3
18	tedtalk-3
19	tedtalk-3
20	tedtalk-3
21	tedtalk-3
22	tedtalk-3
23	tedtalk-3
24	tedtalk-3
25	tedtalk-3
26	tedtalk-3
27	tedtalk-3
28	tedtalk-3
29	tedtalk-3
30	tedtalk-3
31	tedtalk-3
1	tedtalk-4
2	tedtalk-4
3	tedtalk-4
4	tedtalk-4
5	tedtalk-4
6	tedtalk-4
7	tedtalk-4
8	tedtalk-4
9	tedtalk-4
10	tedtalk-4
11	tedtalk-4
12	tedtalk-4
13	tedtalk-4
14	tedtalk-4
15	tedtalk-4
16	tedtalk-4
17	tedtalk-4
18	tedtalk-4
19	tedtalk-4
20	tedtalk-4
21	tedtalk-4
22	tedtalk-4
23	tedtalk-4
24	tedtalk-4
25	tedtalk-4
26	tedtalk-4
27	tedtalk-4
28	tedtalk-4
29	tedtalk-4
30	tedtalk-4
31	tedtalk-4
32	tedtalk-4
33	tedtalk-4
34	tedtalk-4
35	tedtalk-4
36	tedtalk-4
37	tedtalk-4
38	tedtalk-4
39	tedtalk-4
40	tedtalk-4
41	tedtalk-4
42	tedtalk-4
43	tedtalk-4
44	tedtalk-4
45	tedtalk-4
46	tedtalk-4
47	tedtalk-4
48	tedtalk-4
49	tedtalk-4
50	tedtalk-4
51	tedtalk-4
52	tedtalk-4
53	tedtalk-4
54	tedtalk-4
55	tedtalk-4
56	tedtalk-4
57	tedtalk-4
58	tedtalk-4
59	tedtalk-4
60	tedtalk-4
61	tedtalk-4
62	tedtalk-4
63	tedtalk-4
64	tedtalk-4
65	tedtalk-4
66	tedtalk-4
67	tedtalk-4
68	tedtalk-4
69	tedtalk-4
70	tedtalk-4
71	tedtalk-4
72	tedtalk-4
73	tedtalk-4
74	tedtalk-4
75	tedtalk-4
76	tedtalk-4
77	tedtalk-4
78	tedtalk-4
79	tedtalk-4
80	tedtalk-4
81	tedtalk-4
82	tedtalk-4
83	tedtalk-4
84	tedtalk-4
85	tedtalk-4
86	tedtalk-4
87	tedtalk-4
88	tedtalk-4
89	tedtalk-4
90	tedtalk-4
91	tedtalk-4
92	tedtalk-4
93	tedtalk-4
94	tedtalk-4
95	tedtalk-4
96	tedtalk-4
97	tedtalk-4
98	tedtalk-4
99	tedtalk-4
100	tedtalk-4
101	tedtalk-4
102	tedtalk-4
103	tedtalk-4
104	tedtalk-4
105	tedtalk-4
106	tedtalk-4
107	tedtalk-4
108	tedtalk-4
109	tedtalk-4
110	tedtalk-4
111	tedtalk-4
112	tedtalk-4
113	tedtalk-4
114	tedtalk-4
115	tedtalk-4
116	tedtalk-4
117	tedtalk-4
118	tedtalk-4
119	tedtalk-4
120	tedtalk-4
121	tedtalk-4
122	tedtalk-4
123	tedtalk-4
124	tedtalk-4
125	tedtalk-4
126	tedtalk-4
127	tedtalk-4
128	tedtalk-4
129	tedtalk-4
1	tedtalk-5
2	tedtalk-5
3	tedtalk-5
4	tedtalk-5
5	tedtalk-5
6	tedtalk-5
7	tedtalk-5
8	tedtalk-5
9	tedtalk-5
10	tedtalk-5
11	tedtalk-5
12	tedtalk-5
13	tedtalk-5
14	tedtalk-5
15	tedtalk-5
16	tedtalk-5
17	tedtalk-5
18	tedtalk-5
19	tedtalk-5
20	tedtalk-5
21	tedtalk-5
22	tedtalk-5
23	tedtalk-5
24	tedtalk-5
25	tedtalk-5
26	tedtalk-5
27	tedtalk-5
28	tedtalk-5
29	tedtalk-5
30	tedtalk-5
31	tedtalk-5
32	tedtalk-5
33	tedtalk-5
34	tedtalk-5
35	tedtalk-5
36	tedtalk-5
37	tedtalk-5
38	tedtalk-5
39	tedtalk-5
40	tedtalk-5
41	tedtalk-5
42	tedtalk-5
43	tedtalk-5
44	tedtalk-5
45	tedtalk-5
46	tedtalk-5
47	tedtalk-5
48	tedtalk-5
49	tedtalk-5
50	tedtalk-5
51	tedtalk-5
52	tedtalk-5
53	tedtalk-5
54	tedtalk-5
55	tedtalk-5
56	tedtalk-5
57	tedtalk-5
58	tedtalk-5
59	tedtalk-5
60	tedtalk-5
61	tedtalk-5
62	tedtalk-5
63	tedtalk-5
64	tedtalk-5
65	tedtalk-5
66	tedtalk-5
67	tedtalk-5
68	tedtalk-5
69	tedtalk-5
70	tedtalk-5
1	tedtalk-6
2	tedtalk-6
3	tedtalk-6
4	tedtalk-6
5	tedtalk-6
6	tedtalk-6
7	tedtalk-6
8	tedtalk-6
9	tedtalk-6
10	tedtalk-6
11	tedtalk-6
12	tedtalk-6
13	tedtalk-6
14	tedtalk-6
15	tedtalk-6
16	tedtalk-6
17	tedtalk-6
18	tedtalk-6
19	tedtalk-6
20	tedtalk-6
21	tedtalk-6
22	tedtalk-6
23	tedtalk-6
24	tedtalk-6
25	tedtalk-6
26	tedtalk-6
27	tedtalk-6
28	tedtalk-6
29	tedtalk-6
30	tedtalk-6
31	tedtalk-6
32	tedtalk-6
33	tedtalk-6
34	tedtalk-6
35	tedtalk-6
36	tedtalk-6
37	tedtalk-6
38	tedtalk-6
39	tedtalk-6
40	tedtalk-6
41	tedtalk-6
42	tedtalk-6
43	tedtalk-6
44	tedtalk-6
45	tedtalk-6
46	tedtalk-6
47	tedtalk-6
48	tedtalk-6
49	tedtalk-6
50	tedtalk-6
51	tedtalk-6
52	tedtalk-6
53	tedtalk-6
54	tedtalk-6
55	tedtalk-6
56	tedtalk-6
57	tedtalk-6
58	tedtalk-6
59	tedtalk-6
60	tedtalk-6
61	tedtalk-6
62	tedtalk-6
63	tedtalk-6
64	tedtalk-6
65	tedtalk-6
66	tedtalk-6
67	tedtalk-6
68	tedtalk-6
69	tedtalk-6
70	tedtalk-6
71	tedtalk-6
72	tedtalk-6
73	tedtalk-6
74	tedtalk-6
75	tedtalk-6
76	tedtalk-6
77	tedtalk-6
78	tedtalk-6
79	tedtalk-6
80	tedtalk-6
81	tedtalk-6
82	tedtalk-6
83	tedtalk-6
84	tedtalk-6
85	tedtalk-6
86	tedtalk-6
87	tedtalk-6
88	tedtalk-6
89	tedtalk-6
90	tedtalk-6
91	tedtalk-6
92	tedtalk-6
93	tedtalk-6
94	tedtalk-6
95	tedtalk-6
96	tedtalk-6
97	tedtalk-6
98	tedtalk-6
99	tedtalk-6
100	tedtalk-6
101	tedtalk-6
102	tedtalk-6
103	tedtalk-6
104	tedtalk-6
105	tedtalk-6
106	tedtalk-6
107	tedtalk-6
108	tedtalk-6
109	tedtalk-6
110	tedtalk-6
111	tedtalk-6
112	tedtalk-6
113	tedtalk-6
114	tedtalk-6
115	tedtalk-6
116	tedtalk-6
117	tedtalk-6
118	tedtalk-6
119	tedtalk-6
120	tedtalk-6
121	tedtalk-6
122	tedtalk-6
123	tedtalk-6
124	tedtalk-6
125	tedtalk-6
126	tedtalk-6
127	tedtalk-6
128	tedtalk-6
129	tedtalk-6
130	tedtalk-6
131	tedtalk-6
132	tedtalk-6
133	tedtalk-6
134	tedtalk-6
135	tedtalk-6
136	tedtalk-6
137	tedtalk-6
138	tedtalk-6
139	tedtalk-6
140	tedtalk-6
141	tedtalk-6
142	tedtalk-6
143	tedtalk-6
144	tedtalk-6
145	tedtalk-6
146	tedtalk-6
147	tedtalk-6
148	tedtalk-6
149	tedtalk-6
150	tedtalk-6
151	tedtalk-6
152	tedtalk-6
153	tedtalk-6
154	tedtalk-6
155	tedtalk-6
156	tedtalk-6
157	tedtalk-6
158	tedtalk-6
159	tedtalk-6
